service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773219,0,0,0,0,0,0,0,20190125,20190628
2773209,0,0,0,0,0,0,0,20190127,20190707
2773218,0,0,0,0,0,0,0,20190720,20190720
2773217,0,0,0,0,0,0,0,20190126,20190714
2773216,0,0,0,0,0,0,0,20190122,20190627
2773215,0,0,0,0,0,0,0,20190708,20190718
2773214,0,0,0,0,0,0,0,20190225,20190704
2773213,0,0,0,0,0,0,0,20190621,20190621
2773222,0,0,0,0,0,0,0,20190301,20190705
12773209,0,0,0,0,0,0,0,20190128,20190708
12773218,0,0,0,0,0,0,0,20190721,20190721
12773219,0,0,0,0,0,0,0,20190126,20190629
2773210,0,0,0,0,0,0,0,20190421,20190609
2773223,0,0,0,0,0,0,0,20190531,20190719
12773216,0,0,0,0,0,0,0,20190123,20190628
12773217,0,0,0,0,0,0,0,20190127,20190715
12773210,0,0,0,0,0,0,0,20190422,20190610
12773222,0,0,0,0,0,0,0,20190302,20190706
12773214,0,0,0,0,0,0,0,20190226,20190705
12773223,0,0,0,0,0,0,0,20190601,20190720
12773215,0,0,0,0,0,0,0,20190709,20190719
12773213,0,0,0,0,0,0,0,20190622,20190622
